N	Which currency are the sums of money in the "Statements" displayed in?
V	Is she wearing a multi-colored outfit?
V	Could this be a wine tasting?
N	What county is Tenafly in?
V	How many shoes are in there?
N	Which embassy did the Neo-Confucian establishment reject?
N	What resulted from First Nation and Inuit people marrying European settlers?
N	What is the density of Boston's population?
V	IS the man wearing a hat?
V	Is the phone screen on?
N	Besides part of Italy, over what areas did Phillip rule?
V	What car is being advertised?
V	Is this a City Hall?
N	What was the torch relay referred to as by organizers?
N	What was the title chopin gave of some spoof letters he wrote?
V	Is the boy eating a salad?
V	Did the battery already hit the ball or is he about to hit it?
N	Bilaterians are animals that have what?
V	Is this a cute image?
N	What did Spellings' findings reveal?
N	What does Armenian cuisine place an emphasis on?
V	Is what she's eating healthy?
N	What provoked the attack on Queen Victoria as she left Windsor?
N	About how many immigrants from Bangladesh lived in the city in 2013?
N	What Mongolian word did Qing dynasty get it's name from?
V	What is causing the steeple to glow?
V	What is on the left side of the plate?
V	Is that a snowman next to the man?
N	What special protection are most PCBs shipped in?
N	When were the Financial Interest and Syndication Rules repealed?
V	What is the yellow stuff in the bowl?
V	What is the desert?
N	What type of human knowledge is math?
V	Is this plane white and red?
V	What type of TV is in the entertainment center?
V	Are they celebrating something?
V	What animal is depicted in this picture?
N	Sir Edwin Lutyens' city planning in what city marked a shift in design?
V	Is this a shopping cart?
V	Is she getting her hair dryer?
V	How many people are in front of the podium?
V	What kind of church is this?
V	Do you see a shadow of a person?
V	How many adults are in this image?
V	Is the fire hydrant small?
V	Does the owner of this room like to read?
V	Was this picture taken after sundown?
V	How many kinds of meat products are here?
V	What is the position of the person riding the horse?
V	Where did the owner of this bathroom purchase the sink bowl?
V	How many chairs are in the scene?
V	Was this photo taken during the day?
V	Is this bird flying with a branch is its claws?
N	When was the UN General Assembly of the International Covenant on Economic, Social and Cultural Rights enacted?
V	Do these snowboarders appear to be on a team?
V	What is the view from the balcony?
V	What is the liquid in the glass?
N	Where was the Ottoman empire founded?
V	What is the baby dipping in the cup?
V	Are these animals all the same color?
N	In what centuries did fiefs become hereditary?
V	Is that a real cat?
V	What are the people wearing red doing?
V	Is the child bending down?
V	How is the person commuting in this photo?
N	Under what circumstances does a monarch typically use the royal assent?
V	What appliance is open?
V	What sort of court is the man playing on?
V	What is on the cows face?
N	What does Bruce criticize the labels heterosexual and homsexual as?
N	Why did Galla Placidia erect the church of San Giovanni Evangelista?
V	Where is the bay leaf?
V	What is surrounding the meter?
N	Which Union commander seized control of the Tennessee River in February 1862?
N	What does mandolin translate to?
V	Is the guy wearing jeans?
V	What size screen does this TV have?
V	Are there grapes on the plate?
N	What is one district that Ibn Sina traveled through in search of more work?
V	Is that a modern aircraft?
N	Who created OpenType?
V	What shot is this player making?
N	What was the first phase of Cubism known as?
V	Is the fridge light working?
V	Is this child on a farm?
V	What tells you this is a breakfast meal?
N	What animals may have been stampeded over Genghis Khan's grave site?
N	What did this leader of change believe of the conception of Mary ?
N	A cat is feline but what's leporine
V	Are they having macaroni and cheese?
V	Is the oven electric or gas?
V	What type of sandwich is the man holding?
N	Which is Asia's largest christian nation?
V	What is the copyright date on the image?
V	How many pools are there?
N	Is respiration in animals similar to photosynthesis in plants?
V	Why is he holding onto a bunch of cords?
N	When is ghosting reduced?
V	Are the red cars cabs?
V	What kind of festival ride is featured in the picture?
N	What is the county flower of Lancaster?
V	Is this animal running?
V	Where is the little girl?
N	What did  Chancellor Wrighton state as one of the reasons for hosting another debate at Washington University?
N	Why did Coalition nations fear the removal of Hussein from power?
V	Where is the scene?
V	What is the lady holding over her face?
V	Is the man wearing a colorful shirt?
V	Is the man pictured resting?
V	Is the child dressed warm enough for the snow?
V	How many headlights are on the motorcycle?
N	How was the Encyclopedie arranged?
V	Who is the probable owner of the bike?
N	Where is the oldest pharmacy stated to be located?
V	Are vegetables on the plate?
N	What other tools are used as alternative to military force?
V	Does this skateboard look like it is moving?
V	What temperature is the oven on?
V	What numbers are on the man in green's shirt?
V	How many windows on center wall?
V	How many crackers do you see?
V	What state police is this?
N	What country has many students that attend Al-Rashid Islamic Institute?
V	What is the red stuff on top of this dish?
V	Is there water in the vase?
V	Are there electrical transformers visible?
V	Are all the horses the same color?
V	Is this person dressed for work, or to ride a horse?
N	In what year did the battle of Marj Rahit occur?
V	How safe is the driver?
V	Do any of the girls have long hair?
V	Are there only black and white cattle?
N	The word auspicious is derived from which word?
N	When did Tucson begin offering city council candidates public funding?
N	What was established in the city of Paldiski?
V	Did Rapunzel let down her hair from one of these?
V	How many eyebrows are showing?
V	Could this scene be in Iowa?
N	Where can regulatory regions be found?
N	What did the Greek minister of finance clarify the 1999 budget was below when calculated with the ESA79 methodology?
V	Do people have on wetsuits?
V	Do most of the boats have chairs in them?
V	What object appears throughout this picture?
V	Has the wedding occurred?
N	Where was Napoleon when he received news of an Austrian invasion?
N	What three things were combined to develop desktop publishing?
V	What is powering the plane?
V	Are these tiles nice?
N	What area has lots of types of recreational outlets?
V	What green vegetable is on the plate?
V	Why does the dog want the plastic disk?
V	Is this building complete?
N	Where did Elihu Yale grow up?
V	What is under the man's legs?
V	What animal is on the ledge?
V	Are both dogs wearing collars?
N	What is organized into capillary beds in tissues?
N	In 2006 Somerset students performed how well compared to England as a whole
V	Did this person fall down?
N	In 1957, the Saar Protectorate rejoined the Federal Republic as which city?
N	What is an expression that can be used to illustrate the suspected inequality of complexity classes?
N	Viticulture is the growing of what plants
V	Are these items for a craft project?
V	Does the shower have a sliding door?
N	Who wrote the 'War Horse' book?
V	Why is there a bar attached to the wall near the toilet?
N	Boreas Eurus Notus Zephyrus were what
N	What is an example of a personal videoconferencing system tool?
N	Outside of oxidized fats, what is another substance that is deemed harmful that can be found in processed foods?
N	In what year did the Ghaznavids briefly control large portions of Iran?
V	Are these wildflowers?
V	Is the bus functional?
V	Is the car spacious?
V	How many zebras in the photo?
V	Is this a safe sport?
V	What has the rope been used to form?
V	How many boats are shown?
V	Is there natural light in this photo?
V	How many laptops are open?
V	Is it difficult to see the vase the flowers are in?
V	Where are the spectators sitting?
V	Are there any fish in the water?
N	What was the October War?
N	Bermuda is located 898 nautical miles from what US city?
V	What type of greens are on the plate?
N	What is the modern term "culture" based on?
V	Is he shearing an animal?
V	Is this a professional baseball game?
N	Who wrote the novel Invisible Man in 1952
N	What professional soccer organization is headquartered in New York?
V	Is the spray paint supposed to be on the train?
N	What country is on the north border of Guinea-Bissau?
V	Is this likely to be a brochure cover?
V	Do more spectators have red shirts or blue shirts?
V	Did the guy fall?
N	Yvon Petra was the last man to do what at Wimbledon
N	Which collector group highly values LaserDisc for their rareness?
V	What are the men chasing?
V	What is an activity that may be performed in the room featured in this picture?
V	What are the two main colors in this picture?
V	What is the orange and white structure used for?
V	IS the floor shiny?
N	Who discovered Australia in 1606?
V	What are the ladies riding?
V	Is this man working?
V	What type of bear is the one at the far left?
V	Is there a pattern on the plate under the bread?
V	Was it taken in Paris?
V	How much fruit is in the jar?
V	What is the yellow sauce on top of the food?
N	Where will the programs made at Univisión Studios be broadcast?
N	Which other movement was it modeled after?
N	In what year did iron production in Richmond peak?
N	What were the reactions to the idea that function should come before other concerns?
N	What does diaphoresis refer to?
N	When was the age limit increased to 28?
N	What is responsible for differences in surface realizations according to Government phonology?
N	How many primary affiliates did ABC have in 1954?
V	What is he showing the child?
N	How many lines run out of Downtown Los Angeles?
V	Is the laptop on a table?
N	Which Sanskrit literary language has been influenced by the Middle Indo-Aryan languages?
N	What 1925 cartoon made speech bubbles popular?
N	What is the capital of the state of Washington?
N	What is the number one specialty food export of New York?
V	How many whiskers does this animal have?
N	What was the name of Roland Barthes' essay?
V	Aren't these pair of elephants adorable?
V	Is the driver sitting inside the cab?
N	Who ruled most of India in the 18 century?
N	What was The King of Trains and The Train of Kings
V	How many adults are standing?
V	Is the dog eating?
N	What contestant came in ninth on season ten of American Idol?
V	What is the name of the donut place?
V	Why don't these tools fall down?
N	What in Arthurian legend was the Siege Perilous
V	Is this lego?
N	How many contrastive aspirated fricatives does Choni Tibetan have?
N	Antanananarivo is the capitol of where
N	How many hosts do parasites typically have?
V	Is that a passenger plane?
N	What other browser has Google as the default search engine?
N	What was the name of the high school in the movie Grease
V	What three colors are the meter?
V	What color is the man's surf board?
V	What kind of sport is the guy playing?
V	What is on the very top of the building in the front?
V	How many mirrors are on the front of the bus?
V	What is there a window in the bathroom?
V	Is the zebra in the shade?
V	What is the object in the upper right?
V	What side of the room is the door located?
N	What was located on the site that is now the Queen's Gallery?
N	What categories is the masculine gender in Czech divided into?
N	What is the most notable difference between countries?
V	What is the approximate age of the sleeper?
V	How many people are wearing yellow ski pants?
V	Was this picture taken around lunchtime?
V	What are the red things on the pizza?
V	How many cups are on sticks?
N	What is the exam at the end of Form Four?
V	What is in the background past the plants?
V	Is the woman riding the horse?
V	Is the couch a daybed?
N	When was the first large solar distillation plant created?
V	Is the whisk made of wire?
V	What is the girl cutting?
